match_id,innings,over_mark,runs_so_far,wickets_down,current_run_rate,balls_since_boundary,final_score,batting_team
71932818,1,6,53,1,8.833333333333334,0,172,Paarl Royals SRL
71932818,2,6,44,0,7.333333333333333,0,170,Pretoria Capitals SRL
71932820,1,6,26,3,4.333333333333333,0,141,Joburg Super Kings SRL
71932820,2,6,46,1,7.666666666666667,0,147,Sunrisers Eastern Cape SRL
71932822,1,6,32,4,5.333333333333333,0,169,Durban Super Giants Srl
71932822,2,6,45,1,7.5,0,171,Pretoria Capitals Srl
71932824,1,6,49,1,8.166666666666666,0,197,Joburg Super Kings SRL
71932824,2,6,36,3,6.0,0,121,Mi Cape Town SRL
71932826,1,6,79,2,13.166666666666666,0,192,Paarl Royals Srl
71932826,2,6,69,2,11.5,0,160,Sunrisers Eastern Cape Srl
71932842,1,6,70,2,11.666666666666666,0,202,Canterbury SRL
71932842,2,6,59,0,9.833333333333334,0,203,Auckland SRL
71932844,1,6,54,1,9.0,0,194,Central Districts SRL
71932844,2,6,53,0,8.833333333333334,0,180,Northern Districts SRL
71932846,1,6,38,2,6.333333333333333,0,162,Northern Districts SRL
71932846,2,6,45,3,7.5,0,167,Auckland SRL
71932848,1,6,55,2,9.166666666666666,0,160,Central Districts SRL
71932848,2,6,69,1,11.5,0,164,Wellington SRL
71932850,1,6,42,3,7.0,0,152,Wellington SRL
71932850,2,6,38,2,6.333333333333333,0,148,Auckland SRL
